ID, Date_n, Time_n, Date, Time, Channel_N-S, Amplitude_N-S, Channel_W-E, Amplitude_W-E
0, 20190101, 000200, 01.01.2019, 00:02:00, 2, 237, 9, 230
1, 20190101, 000210, 01.01.2019, 00:02:10, 2, 239, 9, 271
2, 20190101, 000220, 01.01.2019, 00:02:20, 0, 0, 6, 243
3, 20190101, 000230, 01.01.2019, 00:02:30, 0, 0, 21, 308
4, 20190101, 000240, 01.01.2019, 00:02:40, 0, 0, 6, 319
5, 20190101, 000250, 01.01.2019, 00:02:50, 0, 0, 21, 254
6, 20190101, 000300, 01.01.2019, 00:03:00, 0, 0, 17, 636
7, 20190101, 000310, 01.01.2019, 00:03:10, 3, 300, 3, 245
8, 20190101, 000320, 01.01.2019, 00:03:20, 0, 0, 0, 0
9, 20190101, 000330, 01.01.2019, 00:03:30, 0, 0, 8, 308
10, 20190101, 000340, 01.01.2019, 00:03:40, 0, 0, 0, 0
11, 20190101, 000350, 01.01.2019, 00:03:50, 0, 0, 28, 268
12, 20190101, 000400, 01.01.2019, 00:04:00, 0, 0, 0, 0
13, 20190101, 000410, 01.01.2019, 00:04:10, 0, 0, 3, 217
14, 20190101, 000420, 01.01.2019, 00:04:20, 0, 0, 0, 0
15, 20190101, 000430, 01.01.2019, 00:04:30, 0, 0, 5, 262
16, 20190101, 000440, 01.01.2019, 00:04:40, 2, 224, 18, 315
17, 20190101, 000450, 01.01.2019, 00:04:50, 0, 0, 25, 418
18, 20190101, 000500, 01.01.2019, 00:05:00, 3, 215, 8, 561
19, 20190101, 000510, 01.01.2019, 00:05:10, 0, 0, 17, 229
20, 20190101, 000520, 01.01.2019, 00:05:20, 0, 0, 1, 200
21, 20190101, 000530, 01.01.2019, 00:05:30, 0, 0, 1, 210
22, 20190101, 000540, 01.01.2019, 00:05:40, 0, 0, 9, 220
23, 20190101, 000550, 01.01.2019, 00:05:50, 0, 0, 25, 254
24, 20190101, 000600, 01.01.2019, 00:06:00, 2, 277, 20, 536
25, 20190101, 000610, 01.01.2019, 00:06:10, 0, 0, 22, 265
26, 20190101, 000620, 01.01.2019, 00:06:20, 1, 206, 19, 466
27, 20190101, 000630, 01.01.2019, 00:06:30, 0, 0, 3, 257
28, 20190101, 000640, 01.01.2019, 00:06:40, 8, 548, 24, 772
